 深圳市L宝安区L委员会O常委P,党组副书记深圳市宝安区第二次党代会代表第三届党代会代表,
 深圳市L宝安区L中医院O院长P,政协深圳市宝安区第三届委员会委员,
 深圳市L宝安县L委员会O第四U,五,
 深圳市L宝安区L政协O副主席P,致公党深圳市委员会副主委,
 深圳市L宝安区L纪委O副书记P,区监察局局长深圳市宝安区第三次党代会代表,
 深圳市L宝安区L人大常委员会O副主任P,民建深圳市宝安总支副主委,
 深圳市L宝安区L政府O副区长P,民建深圳市委员会副主委,
 致公党O深圳市L委员会O办公室S副主任P,致公党广东省委员会第七第八第九届委员会委员,
 深圳市L宝安区L人大筹备组O副组长P,致公党深圳市委员会副主委,
 深圳市L宝安区L人大常委员会O副主任P,致公党广东省第九届委员会委员,
 深圳市L宝安区L政府O副区长P,政协深圳市委员会常委,
 深圳市L宝安区L人力资源局O局长P,政协深圳市宝安区委员会秘书长,
 深圳市L龙岗区L重点区域管理署O党组S书记P,区,
 深圳市L宝安县L人民医院O副院长P,七,
 深圳市L龙岗区L人大常委员会O副主任P,党组副书记深圳市第二次党代会代表第四次党代会代表,
 广东省L徐闻县L南华海鸥农场O教师P,宣传科,
 深圳市L水务有限公司O副总经理P,政协深圳市委员会人口资源环境委员会副主任,
 深圳市L环境水务集团有限公司O副总经理P,政协深圳市委员会人口资源环境委员会副主任,
 深圳市L龙岗区L政协O副主席候选人P,政协深圳市委员会人口资源环境委员会副主任,
 深圳市L龙岗区L政协O副主席P,政协深圳市委员会人口资源环境委员会副主任,
 深圳市L龙岗区L龙岗街道办事处O副主任P,民建深圳市第六届委员会常务委员,
 深圳市L龙岗区L宝龙街道办事处O副主任P,民建深圳市第六届委员会常务委员,
解放军O3305工厂S经济计划处S副处长P,深圳三高化工有限公司经理,
 深圳市L龙岗区L人口计划生育局O副局长P,主持全面工作,
 江西省L赣州市L委员会O办公室S担任U秘书P,政策研究工作,
 深圳市L龙岗区L政协O副主席P,民建深圳市委员会委员,
 深圳市L龙岗区L财政局O局长P,政协深圳市龙岗区委员会党组成员,
 深圳市L龙岗区L工商联常务O副主席P,区委员会两新组织工委副书记龙岗区第二届政协常委,
中国有色瑶岗仙钨矿选矿厂O车间主任P,郴州有机锡化工厂厂长,
 深圳市L龙华区L政协O副主席P,致公党深圳市委员会副主委,
 深圳市L公安局O干警P,三级,
 深圳市L龙华区L财政局O局长P,民建深圳市委员会副主委,
 深圳市L坪山新区L公共事业局O教育科S科长P,共青团深圳市坪山新区工作委员会委员,
国务院O办公厅S秘书一局S会议处S负责人P,深圳市委员会副秘书长,
 深圳市L坪山新区L组织人事局O主任科员P,共青团深圳市坪山新区工作委员会委员,
 深圳市L坪山新区L组织人事局O群团工作科S科长P,共青团深圳市坪山新区工作委员会委员,
 深圳市L坪山新区L组织人事局O组织科S科长P,共青团深圳市坪山新区工作委员会委员,
 深圳市L坪山新区L组织人事局O副局长P,共青团深圳市坪山新区工作委员会委员,
中国高新技术产业投资管理公司O总经理P,深圳深港实业有限公司副总经理,
 深圳市L坪山区L城市更新土地整备局O局长P,民建深圳市委员会副主委,
东南大学O公路U,城市道路机场工程专业学生,
中国科学院O西安光学精密机械研究所S电子U,离子与真空物理专业硕士研究生学习,
 深圳市L光明区L人大常委员会O副主任P,致公党深圳市委员会副主委,
 深圳市L机场卫生检疫局O副局长P,主持工作,
 深圳市L贸易工业局O政策法规处S副处长P,2007.07筹建光明新区任经济发展办公室负责人,
 深圳市L办统筹规划处O处长P,2007.07筹建光明新区任经济发展办公室负责人,
 广东省L深圳市委员会O组织部S办公室S副主任P,主持工作,
中组部O第七批援疆干部P,喀什市委员会副书记,
 深圳市L大鹏新区L应急管理办公室O副主任P,主持工作,
 深圳市L委员会O组织部S副部长P,共青团深圳市委员会书记,
 深圳市L大鹏新区L规划土地监察大队O副大队长P,主持全面工作,
 深圳市L大鹏新区L城市管理水务局O副局长P,主持全面工作,
 深圳市L深汕合作区L管委员会O副主任P,农工党深圳市委员会副主委,
 深圳市L罗湖区L发展改革局O副局长P,2012.05选派深汕合作区财政局局长,
 深圳市L委员会L统战部O副部长P,政协深圳市委员会联谊委员会主任,
 深圳市L监察局O副局长P,政协深圳市委员会社会法制委员会副主任,
 深圳市L人大常委员会O副秘书长人选P,政协深圳市委员会提案委员会副主任,
 深圳市L人大常委员会O副秘书长P,政协深圳市委员会提案委员会副主任,
中央外办政策研究局O副局长P,挂任深圳市委员会副秘书长,
科技部O资源配置与管理司S副司长P,挂任深圳市政府副秘书长,
中国保险监督管理委员会O办公厅S副巡视员P,挂任深圳市政府副秘书长,
中国电子产品可靠性与环境试验研究所O党委副书记P,挂任深圳市政府副秘书长,
 深圳市L前海深港现代服务业合作区管理局O副局长P,中国自由贸易试验区深圳前海蛇口片区管理委员会副主任,
香港L商报经济部O副主任P,深圳特区报对外新闻部记者,
香港L商报经济部O主任P,深圳特区报对外新闻部记者,
深圳大学O教务处S处长P,深圳市无党派知识分子联谊会副会长,
深圳大学O党委书记P,深圳职业技术学院院长,
哈尔滨工业大学O党委书记P,广东省深圳市盐田区政府区长,
深圳大学O企业党S总支副书记P,深圳大学实验总厂厂长,
深圳大学O师范学院S副院长P,深圳大学师范学院附中校长,
 深圳L商报社文艺新闻部O副主任P,主持工作,
 招商局集团有限公司O党委委员P,中国自由贸易试验区深圳前海蛇口片区管理委员会常务副主任,
 深圳职业技术学院O计算中心S教师P,致公党深圳市委员会委员,
 广东省L深圳市L南山区L政协O副主席P,致公党深圳市委员会副主委,
 广东省L深圳市L南山区L人大常委员会S副主任P,致公党深圳市委员会副主委,
 深圳信息职业技术学院O院长P,致公党深圳市委员会副主委,
吉林日报O记者P,编辑,
 深圳L报业集团O办公室S负责人P,主持工作,
北京科技大学O党委委员P,精准医疗与健康研究院执行院长,
山西晚报O记者P,编辑,
 深圳市L前海深港现代服务业合作区管理局O副局长P,中国自由贸易试验区深圳前海蛇口片区管理委员会副主任,
 招商局集团有限公司O区域发展部S副部长P,招商局蛇口工业区控股股份有限公司党委常委,
 深圳信息职业技术学院L纪委办公室O主任P,管理五级,
深圳大学O党委组织部S统战部S部长P,教研教辅联合党委书记,
深圳大学O党委P常委U,教研教辅联合党委书记,
 深圳信息职业技术学院O教务处S副处长P,科,
 深圳信息职业技术学院O交通与环境学院S党总支书记P,科,
 深圳信息职业技术学院O就业指导中心S就业市场部S临时负责人P,科,
 深圳信息职业技术学院O招生就业办公室S就业科S负责人P,科,
 深圳信息职业技术学院O招生就业处S处长P,管理六级,
 深圳信息职业技术学院O党委办公室S副主任P,管理六级,
南方科技大学O党委副书记P,广东省深圳市监委驻南方科技大学监察专员,
国家职业教育研究院深圳分院O常务副院长P,深圳职业技术学院技术与职业教育研究所所长,
 深圳信息职业技术学院国有资产管理处O处长P,管理五级,
 深圳信息职业技术学院O科研设备处S干部P,科,
 深圳信息职业技术学院O科研设备处S科研管理科S负责人P,科,
 深圳信息职业技术学院O财务处S副处长P,科,
